model;f1;precision;recall;auc;pr_auc
M1: ESM-2 + XGBoost;0.94;0.97;0.90;0.99;0.98
M1: ESM-2 + XGBoost;0.91;0.97;0.85;0.98;0.98
M1: ESM-2 + XGBoost;0.90;0.93;0.86;0.97;0.96
M1: ESM-2 + XGBoost;0.97;0.99;0.96;1.00;1.00
M1: ESM-2 + XGBoost;0.96;0.99;0.94;1.00;1.00
M2: ESM-2 + RF;0.94;0.95;0.93;0.99;0.99
M2: ESM-2 + RF;0.90;0.95;0.86;0.96;0.96
M2: ESM-2 + RF;0.86;0.91;0.83;0.95;0.95
M2: ESM-2 + RF;0.96;0.96;0.96;0.99;0.99
M2: ESM-2 + RF;0.96;0.97;0.94;0.99;0.99
M3: ProtT5 + XGBoost;0.95;0.94;0.96;0.99;0.99
M3: ProtT5 + XGBoost;0.92;0.89;0.94;0.98;0.98
M3: ProtT5 + XGBoost;0.93;0.92;0.95;0.98;0.94
M3: ProtT5 + XGBoost;0.98;0.98;0.98;0.99;0.99
M3: ProtT5 + XGBoost;0.98;0.98;0.98;1.00;1.00
M4: ProtT5 + RF;0.94;0.94;0.94;0.99;0.99
M4: ProtT5 + RF;0.90;0.91;0.89;0.98;0.98
M4: ProtT5 + RF;0.93;0.94;0.93;0.98;0.97
M4: ProtT5 + RF;0.98;0.98;0.98;0.99;0.99
M4: ProtT5 + RF;0.97;0.99;0.95;1.00;0.99
M5: AAC/CTD + XGBoost;0.92;0.97;0.88;0.97;0.98
M5: AAC/CTD + XGBoost;0.88;0.98;0.79;0.92;0.93
M5: AAC/CTD + XGBoost;0.88;0.94;0.83;0.94;0.93
M5: AAC/CTD + XGBoost;0.97;1.00;0.95;0.98;0.99
M5: AAC/CTD + XGBoost;0.95;0.99;0.93;0.98;0.98
M6: AAC/CTD + RF;0.93;1.00;0.88;0.98;0.98
M6: AAC/CTD + RF;0.86;0.98;0.77;0.92;0.93
M6: AAC/CTD + RF;0.87;0.94;0.81;0.92;0.92
M6: AAC/CTD + RF;0.97;1.00;0.94;0.98;0.98
M6: AAC/CTD + RF;0.95;1.00;0.91;0.98;0.98
M7: Graph (chain edges);0.92;0.95;0.90;0.98;0.98
M7: Graph (chain edges);0.90;0.96;0.85;0.97;0.97
M7: Graph (chain edges);0.91;0.90;0.93;0.98;0.97
M7: Graph (chain edges);0.98;0.98;0.98;1.00;1.00
M7: Graph (chain edges);0.97;0.97;0.96;0.99;0.99
M8: Graph (contact-map edges);0.92;0.94;0.90;0.98;0.98
M8: Graph (contact-map edges);0.89;0.92;0.86;0.98;0.98
M8: Graph (contact-map edges);0.90;0.95;0.86;0.97;0.96
M8: Graph (contact-map edges);0.97;0.96;0.98;1.00;1.00
M8: Graph (contact-map edges);0.96;0.95;0.96;0.99;0.99
