model,reference,is_positive_control,base_proba,top15_overlap_with_triad,best_triad_rank,worst_triad_rank,mean_triad_rank,combined_triple_mutation_delta,sum_of_individual_deltas,synergy,permutation_p_value,permutation_z_score
M8: Graph (contact-map edges),CalB_negative_control,False,0.9885202453383899,2,1,85,33.666666666666664,0.15057294479631644,0.03786327907676468,0.11270966571955177,0.0,15.742225803807342
M1: ESM-2 + XGBoost,CalB_negative_control,False,0.9619636535644531,1,12,164,65.33333333333333,0.1695275902748108,0.1925380825996399,-0.0230104923248291,0.02,2.8067863938959174
M4: ProtT5 + RF,CalB_negative_control,False,0.6643619578854841,1,3,76,33.0,0.18362226068178383,0.3088041320890839,-0.12518187140730008,0.0,4.742651707043041
M7: Graph (chain edges),CalB_negative_control,False,0.22579176693745884,1,2,116,56.0,0.18629504044295198,0.22253262612267738,-0.036237585679725404,0.0,2.083957452986017
M2: ESM-2 + RF,CalB_negative_control,False,0.5749713770876425,0,16,193,94.33333333333333,0.14551852917887087,0.16404136250902723,-0.018522833330156363,0.02,2.722020317375197
M3: ProtT5 + XGBoost,CalB_negative_control,False,0.9553413987159729,0,18,142,95.66666666666667,0.06664168834686279,0.17186152935028076,-0.10521984100341797,0.43,0.030148301476962732
M5: AAC/CTD + XGBoost,CalB_negative_control,False,0.9904542565345764,0,105,163,142.33333333333334,0.005415678024291992,0.006468653678894043,-0.0010529756546020508,0.52,-0.3173532520331767
M6: AAC/CTD + RF,CalB_negative_control,False,0.8446404113585609,0,77,221,170.33333333333334,0.03896265205456184,0.039824983938365976,-0.000862331883804135,0.405,0.20317025526456214
M3: ProtT5 + XGBoost,IsPETase,True,0.9994508624076843,1,2,264,101.66666666666667,0.001091599464416504,0.00022649765014648438,0.0008651018142700195,0.0,7.169591312261543
M4: ProtT5 + RF,IsPETase,True,1.0,1,12,192,73.66666666666667,0.040446593353653415,0.020210590590271638,0.020236002763381777,0.005,4.364653629465411
M1: ESM-2 + XGBoost,IsPETase,True,0.9990648627281189,0,23,285,160.66666666666666,0.0024202466011047363,0.00023031234741210938,0.002189934253692627,0.01,3.183294015446027
M2: ESM-2 + RF,IsPETase,True,0.9831304019622907,0,170,281,232.66666666666666,0.009535684519377807,-0.0017462603508373586,0.011281944870215166,0.04,1.3706371572518852
M5: AAC/CTD + XGBoost,IsPETase,True,0.9993460774421692,0,54,188,130.66666666666666,8.213520050048828e-05,-4.398822784423828e-05,0.00012612342834472656,0.27,0.2996406519709412
M6: AAC/CTD + RF,IsPETase,True,0.9995864137918192,0,151,261,221.66666666666666,0.0,0.0,0.0,1.0,-0.7985256747605324
M7: Graph (chain edges),IsPETase,True,0.9937721475299373,0,50,265,180.0,0.00018809202720049267,-5.443058903087383e-05,0.0002425226162313665,0.63,-0.24891236649845414
M8: Graph (contact-map edges),IsPETase,True,0.9994778286872168,0,39,242,161.33333333333334,0.0007058857176934774,0.00015191095071642735,0.0005539747669770501,0.11,1.2672857221368197
M4: ProtT5 + RF,LCC,True,0.9979950248756219,2,1,102,38.333333333333336,0.027394978287949456,0.019744564265120168,0.007650414022829288,0.0,6.889238200080157
M1: ESM-2 + XGBoost,LCC,True,0.9997666478157043,1,11,281,175.33333333333334,6.908178329467773e-05,-2.0265579223632812e-05,8.934736251831055e-05,0.145,0.3345008588889036
M2: ESM-2 + RF,LCC,True,0.9892255464436236,1,8,101,41.666666666666664,0.001862946141605648,0.0007346665223039173,0.0011282796193017308,0.0,6.726568045277644
M3: ProtT5 + XGBoost,LCC,True,0.9998032450675964,1,1,23,14.666666666666666,0.00025200843811035156,0.0002123713493347168,3.9637088775634766e-05,0.0,7.787673575120769
M5: AAC/CTD + XGBoost,LCC,True,0.9990348815917969,0,57,225,121.0,0.000589907169342041,0.00035381317138671875,0.00023609399795532227,0.285,0.3482584214745087
M6: AAC/CTD + RF,LCC,True,0.9993093649308552,0,23,244,123.33333333333333,0.00955556978282912,0.011975692148566752,-0.0024201223657376314,0.42,-0.05700240132608451
M7: Graph (chain edges),LCC,True,0.999188407480426,0,108,249,192.33333333333334,4.1328391901740424e-05,-1.308937574917568e-05,5.4417767650916105e-05,0.59,-0.2875501430638544
M8: Graph (contact-map edges),LCC,True,0.9999948014454741,0,145,242,195.33333333333334,1.3083059023921706e-06,-1.6109419149756832e-06,2.9192478173678538e-06,0.46,-0.3005832127794152
