model,rank,dimension_or_feature,mean_abs_shap
M1: ESM-2 + XGBoost,1,592,0.89414686
M1: ESM-2 + XGBoost,2,533,0.6500054
M1: ESM-2 + XGBoost,3,36,0.5066702
M1: ESM-2 + XGBoost,4,371,0.33677846
M1: ESM-2 + XGBoost,5,545,0.28511763
M2: ESM-2 + RF,1,592,0.0197760418652135
M2: ESM-2 + RF,2,36,0.019140047873529
M2: ESM-2 + RF,3,371,0.0167940737223018
M2: ESM-2 + RF,4,483,0.0166600798356536
M2: ESM-2 + RF,5,545,0.0148043801913927
M3: ProtT5 + XGBoost,1,625,1.0250282
M3: ProtT5 + XGBoost,2,534,0.3688076
M3: ProtT5 + XGBoost,3,260,0.33524722
M3: ProtT5 + XGBoost,4,986,0.3060995
M3: ProtT5 + XGBoost,5,414,0.30589852
M4: ProtT5 + RF,1,625,0.022952226857364
M4: ProtT5 + RF,2,46,0.0180597910279009
M4: ProtT5 + RF,3,372,0.0166376121358251
M4: ProtT5 + RF,4,931,0.0138934344351341
M4: ProtT5 + RF,5,260,0.0126002081790039
M5: AAC/CTD + XGBoost,1,AAC_P,0.6371153
M5: AAC/CTD + XGBoost,2,SolventAccessibility_T12,0.56570184
M5: AAC/CTD + XGBoost,3,Polarity_T13,0.54457134
M5: AAC/CTD + XGBoost,4,SecondaryStructure_C1,0.36452365
M5: AAC/CTD + XGBoost,5,AAC_H,0.30149344
M6: AAC/CTD + RF,1,AAC_P,0.024310618405025
M6: AAC/CTD + RF,2,Hydrophobicity_C2,0.0227420109265857
M6: AAC/CTD + RF,3,Polarity_T13,0.0220429053492158
M6: AAC/CTD + RF,4,SolventAccessibility_C3,0.0215676636199401
M6: AAC/CTD + RF,5,SolventAccessibility_T12,0.020902592558412
M7: Graph (chain edges),1,44,0.3412208221800177
M7: Graph (chain edges),2,46,0.3135589680113602
M7: Graph (chain edges),3,42,0.3007782335938279
M7: Graph (chain edges),4,22,0.2922024283694447
M7: Graph (chain edges),5,63,0.2893224839932033
M8: Graph (contact-map edges),1,51,0.8171721845158894
M8: Graph (contact-map edges),2,8,0.6541708383923958
M8: Graph (contact-map edges),3,4,0.6418199606478129
M8: Graph (contact-map edges),4,56,0.6350871261545097
M8: Graph (contact-map edges),5,31,0.634097666705766
